season,player_name,position,recent_team
2010,A.Foster,RB,HOU
2010,A.Peterson,RB,MIN
2010,A.Rodgers,QB,GB
2010,B.Favre,QB,MIN
2010,B.Roethlisberger,QB,PIT
2010,C.Henne,QB,MIA
2010,C.Palmer,QB,CIN
2010,D.Brees,QB,NO
2010,D.Garrard,QB,JAX
2010,D.McFadden,RB,LV
2010,D.McNabb,QB,WAS
2010,E.Manning,QB,NYG
2010,J.Charles,RB,KC
2010,J.Cutler,QB,CHI
2010,J.Flacco,QB,BAL
2010,J.Freeman,QB,TB
2010,K.Orton,QB,DEN
2010,L.McCoy,RB,PHI
2010,M.Cassel,QB,KC
2010,M.Forte,RB,CHI
2010,M.Hasselbeck,QB,SEA
2010,M.Jones-Drew,RB,JAX
2010,M.Ryan,QB,ATL
2010,M.Sanchez,QB,NYJ
2010,M.Schaub,QB,HOU
2010,M.Vick,QB,PHI
2010,P.Hillis,RB,CLE
2010,P.Manning,QB,IND
2010,P.Rivers,QB,LAC
2010,R.Fitzpatrick,QB,BUF
2010,R.Rice,RB,BAL
2010,S.Bradford,QB,LA
2010,S.Jackson,RB,LA
2010,Sh.Hill,QB,DET
2010,T.Brady,QB,NE
2011,A.Dalton,QB,CIN
2011,A.Foster,RB,HOU
2011,A.Rodgers,QB,GB
2011,Alex Smith,QB,SF
2011,B.Gabbert,QB,JAX
2011,B.Roethlisberger,QB,PIT
2011,C.Johnson,WR,DET
2011,C.McCoy,QB,CLE
2011,C.Newton,QB,CAR
2011,C.Palmer,QB,LV
2011,D.Brees,QB,NO
2011,E.Manning,QB,NYG
2011,J.Flacco,QB,BAL
2011,J.Freeman,QB,TB
2011,L.McCoy,RB,PHI
2011,M.Forte,RB,CHI
2011,M.Hasselbeck,QB,TEN
2011,M.Jones-Drew,RB,JAX
2011,M.Moore,QB,MIA
2011,M.Ryan,QB,ATL
2011,M.Sanchez,QB,NYJ
2011,M.Stafford,QB,DET
2011,M.Turner,RB,ATL
2011,M.Vick,QB,PHI
2011,P.Rivers,QB,LAC
2011,R.Fitzpatrick,QB,BUF
2011,R.Grossman,QB,WAS
2011,R.Mathews,RB,LAC
2011,R.Rice,RB,BAL
2011,S.Bradford,QB,LA
2011,T.Brady,QB,NE
2011,T.Jackson,QB,SEA
2011,T.Romo,QB,DAL
2011,V.Cruz,WR,NYG
2011,W.Welker,WR,NE
2012,A.Dalton,QB,CIN
2012,A.Foster,RB,HOU
2012,A.Johnson,WR,HOU
2012,A.Luck,QB,IND
2012,A.Morris,RB,WAS
2012,A.Peterson,RB,MIN
2012,A.Rodgers,QB,GB
2012,B.Roethlisberger,QB,PIT
2012,B.Weeden,QB,CLE
2012,C.Johnson,WR,DET
2012,C.Newton,QB,CAR
2012,C.Palmer,QB,LV
2012,C.Ponder,QB,MIN
2012,C.Spiller,RB,BUF
2012,D.Brees,QB,NO
2012,D.Martin,RB,TB
2012,E.Manning,QB,NYG
2012,J.Charles,RB,KC
2012,J.Cutler,QB,CHI
2012,J.Flacco,QB,BAL
2012,J.Freeman,QB,TB
2012,M.Lynch,RB,SEA
2012,M.Ryan,QB,ATL
2012,M.Sanchez,QB,NYJ
2012,M.Schaub,QB,HOU
2012,M.Stafford,QB,DET
2012,P.Manning,QB,DEN
2012,P.Rivers,QB,LAC
2012,R.Fitzpatrick,QB,BUF
2012,R.Rice,RB,BAL
2012,R.Tannehill,QB,MIA
2012,R.Wilson,QB,SEA
2012,S.Bradford,QB,LA
2012,T.Brady,QB,NE
2012,T.Romo,QB,DAL
2013,A.Brown,WR,PIT
2013,A.Dalton,QB,CIN
2013,A.Jeffery,WR,CHI
2013,A.Luck,QB,IND
2013,A.Smith,QB,KC
2013,B.Roethlisberger,QB,PIT
2013,C.Henne,QB,JAX
2013,C.Johnson,WR,DET
2013,C.Kaepernick,QB,SF
2013,C.Newton,QB,CAR
2013,C.Palmer,QB,ARI
2013,D.Brees,QB,NO
2013,E.Manning,QB,NYG
2013,G.Smith,QB,NYJ
2013,J.Charles,RB,KC
2013,J.Cutler,QB,CHI
2013,J.Flacco,QB,BAL
2013,J.Gordon,WR,CLE
2013,K.Moreno,RB,DEN
2013,L.McCoy,RB,PHI
2013,M.Forte,RB,CHI
2013,M.Glennon,QB,TB
2013,M.Lynch,RB,SEA
2013,M.Ryan,QB,ATL
2013,M.Schaub,QB,HOU
2013,M.Stafford,QB,DET
2013,P.Manning,QB,DEN
2013,P.Rivers,QB,LAC
2013,R.Bush,RB,DET
2013,R.Fitzpatrick,QB,TEN
2013,R.Griffin,QB,WAS
2013,R.Tannehill,QB,MIA
2013,R.Wilson,QB,SEA
2013,T.Brady,QB,NE
2013,T.Romo,QB,DAL
2014,A.Brown,WR,PIT
2014,A.Dalton,QB,CIN
2014,A.Foster,RB,HOU
2014,A.Luck,QB,IND
2014,A.Rodgers,QB,GB
2014,A.Smith,QB,KC
2014,B.Bortles,QB,JAX
2014,B.Hoyer,QB,CLE
2014,B.Roethlisberger,QB,PIT
2014,C.Kaepernick,QB,SF
2014,C.Newton,QB,CAR
2014,D.Brees,QB,NO
2014,D.Carr,QB,LV
2014,D.Murray,RB,DAL
2014,D.Thomas,WR,DEN
2014,E.Lacy,RB,GB
2014,E.Manning,QB,NYG
2014,G.Smith,QB,NYJ
2014,J.Cutler,QB,CHI
2014,J.Flacco,QB,BAL
2014,J.Forsett,RB,BAL
2014,J.Jones,WR,ATL
2014,K.Orton,QB,BUF
2014,L.Bell,RB,PIT
2014,M.Forte,RB,CHI
2014,M.Lynch,RB,SEA
2014,M.Ryan,QB,ATL
2014,M.Stafford,QB,DET
2014,P.Manning,QB,DEN
2014,P.Rivers,QB,LAC
2014,R.Tannehill,QB,MIA
2014,R.Wilson,QB,SEA
2014,T.Brady,QB,NE
2014,T.Bridgewater,QB,MIN
2014,T.Romo,QB,DAL
2015,A.Brown,WR,PIT
2015,A.Dalton,QB,CIN
2015,A.Peterson,RB,MIN
2015,A.Robinson,WR,JAX
2015,A.Rodgers,QB,GB
2015,A.Smith,QB,KC
2015,B.Bortles,QB,JAX
2015,B.Marshall,WR,NYJ
2015,B.Roethlisberger,QB,PIT
2015,C.Newton,QB,CAR
2015,C.Palmer,QB,ARI
2015,D.Brees,QB,NO
2015,D.Carr,QB,LV
2015,D.Freeman,RB,ATL
2015,D.Hopkins,WR,HOU
2015,D.Martin,RB,TB
2015,D.McFadden,RB,DAL
2015,E.Manning,QB,NYG
2015,J.Cutler,QB,CHI
2015,J.Flacco,QB,BAL
2015,J.Jones,WR,ATL
2015,J.Winston,QB,TB
2015,K.Cousins,QB,WAS
2015,M.Mariota,QB,TEN
2015,M.Ryan,QB,ATL
2015,M.Stafford,QB,DET
2015,O.Beckham Jr.,WR,NYG
2015,P.Rivers,QB,LAC
2015,R.Fitzpatrick,QB,NYJ
2015,R.Tannehill,QB,MIA
2015,R.Wilson,QB,SEA
2015,S.Bradford,QB,PHI
2015,T.Brady,QB,NE
2015,T.Bridgewater,QB,MIN
2015,T.Taylor,QB,BUF
2016,A.Dalton,QB,CIN
2016,A.Luck,QB,IND
2016,A.Rodgers,QB,GB
2016,A.Smith,QB,KC
2016,B.Bortles,QB,JAX
2016,B.Osweiler,QB,HOU
2016,B.Roethlisberger,QB,PIT
2016,C.Newton,QB,CAR
2016,C.Palmer,QB,ARI
2016,C.Wentz,QB,PHI
2016,D.Brees,QB,NO
2016,D.Carr,QB,LV
2016,D.Freeman,RB,ATL
2016,D.Johnson,RB,ARI
2016,D.Murray,RB,TEN
2016,D.Prescott,QB,DAL
2016,E.Elliott,RB,DAL
2016,E.Manning,QB,NYG
2016,J.Ajayi,RB,MIA
2016,J.Flacco,QB,BAL
2016,J.Howard,RB,CHI
2016,J.Winston,QB,TB
2016,K.Cousins,QB,WAS
2016,L.Bell,RB,PIT
2016,L.McCoy,RB,BUF
2016,M.Gordon,RB,LAC
2016,M.Mariota,QB,TEN
2016,M.Ryan,QB,ATL
2016,M.Stafford,QB,DET
2016,P.Rivers,QB,LAC
2016,R.Wilson,QB,SEA
2016,S.Bradford,QB,MIN
2016,T.Hilton,WR,IND
2016,T.Siemian,QB,DEN
